Year   Moose  Wolves
 1959  547   20
 1960  562   25
 1961  559   36
 1962  550   37
 1963  493   37
 1964  384   36
 1965  275   27
 1966  244   26
 1967  132   22
 1968   65   20
 1969   19   18
 1970   23   16
 1971    1   12
 1972    0    7
 1973    0    4
 1974    0    2
 1975    0    1
 1976    0    1
 1977    0    1
 1978    0    0
 1979    0    0
 1980    0    0
 1981    0    0
 1982    0    0
 1983    0    0
 1984    0    0
 1985    0    0
 1986    0    0
 1987    0    0
 1988    0    0
 1989    0    0
 1990    0    0
 1991    0    0
 1992    0    0
 1993    0    0
 1994    0    0
 1995    0    0
 1996    0    0
 1997    0    0
 1998    0    0
 1999    0    0
 2000    0    0
 2001    0    0
 2002    0    0
 2003    0    0
 2004    0    0
 2005    0    0
 2006    0    0
 2007    0    0
 2008    0    0
 2009    0    0
 2010    0    0
 2011    0    0
 2012    0    0
 2013    0    0
 2014    0    0
 2015    0    0
 2016    0    0
 2017    0    0
 2018    0    0
